Unnamed: 0,RBD,NOM_RBD,NOM_COM_RBD,NOM_DEPROV_RBD,LATITUD,LONGITUD,n_postulaciones,vacantes,n_postulaciones_p,vacantes_p
7972,9926,COLEGIO SOFIA INFANTE HURTADO,MAIPÚ,SANTIAGO PONIENTE,-33.52551514999999,-70.75779307,598.0,130.0,0.0011891268468253494,0.0005178767055074195
7973,9928,ESCUELA PARTICULAR AMANECER,ESTACIÓN CENTRAL,SANTIAGO PONIENTE,-33.47107314,-70.72022276,50.0,46.0,9.942532164091551e-05,0.0001832486804103177
7974,9930,ESCUELA PARTICULAR JOSE ANTONIO LECAROS,ESTACIÓN CENTRAL,SANTIAGO PONIENTE,-33.46399696999999,-70.69880676,754.0,74.0,0.0014993338503450058,0.000294791355442685
7977,9937,LICEO MATER PURISSIMA,MAIPÚ,SANTIAGO PONIENTE,-33.50517905,-70.74711759,412.0,462.0,0.0008192646503211438,0.0018404541380340604
7978,9939,ESCUELA BASICA CAMPOS DE MAIPU-CERRILLOS,CERRILLOS,SANTIAGO PONIENTE,-33.49900348,-70.72373738,425.0,286.0,0.0008451152339477818,0.001139328752116323
7979,9940,ESCUELA LICEO MADRE VICENCIA,ESTACIÓN CENTRAL,SANTIAGO PONIENTE,-33.46230697,-70.70896453,1125.0,125.0,0.002237069736920599,0.0004979583706802111
7981,9942,"ESCUELA, COLEGIO POLITEC.H.DE MAGALLANES",ESTACIÓN CENTRAL,SANTIAGO PONIENTE,-33.46914868999999,-70.71244689,260.0,196.0,0.0005170116725327607,0.000780798725226571
7983,9945,COLEGIO ELLEN COLLEGE,MAIPÚ,SANTIAGO PONIENTE,-33.50405544,-70.7671735,249.0,228.0,0.0004951381017717592,0.0009082760681207051
7984,9946,ESCUELA PARTICULAR LA MONTANA,MAIPÚ,SANTIAGO PONIENTE,-33.52341083999999,-70.7629265,119.0,120.0,0.0002366322655053789,0.0004780400358530027
7985,9947,COLEGIO INDUSTRIAL PART. DON ORIONE,CERRILLOS,SANTIAGO PONIENTE,-33.50360544,-70.71201881,982.0,212.0,0.0019527133170275806,0.0008445373966736381
7986,9948,ESCUELA PARTICULAR SAINT RODRIC COLLEGE,CERRILLOS,SANTIAGO PONIENTE,-33.50602268,-70.7252395,58.0,157.0,0.00011533337310346199,0.0006254357135743452
7987,9950,COLEGIO EL REDENTOR,MAIPÚ,SANTIAGO PONIENTE,-33.50309318,-70.76417605,318.0,205.0,0.0006323450456362226,0.0008166517279155463
7988,9953,CENTRO EDUCACIONAL SAN ANDRES,MAIPÚ,SANTIAGO PONIENTE,-33.48467347999999,-70.74793584,302.0,147.0,0.0006005289427111297,0.0005855990439199283
7989,9955,COLEGIO ROSITA SANCHEZ,MAIPÚ,SANTIAGO PONIENTE,-33.52667979,-70.77176413,357.0,141.0,0.0007098967965161367,0.0005616970421272781
7990,9957,LICEO INDUSTRIAL ALBERTO WIDMER,MAIPÚ,SANTIAGO PONIENTE,-33.50971455,-70.76739117,637.0,300.0,0.0012666785977052636,0.0011951000896325067
7991,9959,COMPLEJO EDUCACIONAL MAIPU,MAIPÚ,SANTIAGO PONIENTE,-33.5172332,-70.77519763,1426.0,730.0,0.00283561017319891,0.002908076884772433
7992,9960,ESCUELA PARTICULAR VILLA ESPANA,ESTACIÓN CENTRAL,SANTIAGO PONIENTE,-33.46203451,-70.69947367,580.0,40.0,0.0011533337310346199,0.00015934667861766756
7994,9967,ESCUELA PARTICULAR RUBEN DARIO,MAIPÚ,SANTIAGO PONIENTE,-33.51861359,-70.75718188,1212.0,74.0,0.002410069796575792,0.000294791355442685
7997,9972,COLEGIO SAINT MAURICE S,CERRILLOS,SANTIAGO PONIENTE,-33.50235159999999,-70.72849209,441.0,145.0,0.0008769313368728748,0.0005776317099890449
