color,lat,lon
#bfef45,-33.49711154,-70.71937341
#bfef45,-33.44063348,-70.76215099
#bfef45,-33.50036446,-70.75381662
#bfef45,-33.61517778999999,-70.63084459
#bfef45,-33.43719845999999,-70.66974847
#bfef45,-33.45776820999999,-70.76089443
#fabed4,-33.52624222,-70.66823874
#fabed4,-33.51989686,-70.638285
#fabed4,-33.42060123,-70.53628614
#fabed4,-33.61878436,-70.62765577
#fabed4,-33.51611178999999,-70.75420244
#fabed4,-33.47480474999999,-70.74943857
#fabed4,-33.51875351999999,-70.70075043
#fabed4,-33.50729712999999,-70.66255721
#fabed4,-33.49969075,-70.75924528
#fabed4,-33.43579969999999,-70.61905036
#fabed4,-33.55412277,-70.60462292
#fabed4,-33.45700956999999,-70.59402438
#fabed4,-33.50602268,-70.7252395
#fabed4,-33.3611543,-70.50548959
#fabed4,-33.44077605999999,-70.62654408
#fabed4,-33.54421013,-70.66817293
#fabed4,-33.44675062,-70.70159352
#fabed4,-33.41750668,-70.73710134
#fabed4,-33.56361519,-70.64955424
#fabed4,-33.53113805,-70.66450788
